trade_id,account,instrument,isin,side,quantity,price,currency,trade_date,settlement_date,cash_amount,status,fees
T1000,ACC001,MSFT,US0252962471,BUY,362,2627.31,USD,2025-11-25,2025-11-27,951086.22,SETTLED,9.63
T1001,ACC003,GOOGL,US7779471282,BUY,679,311.28,USD,2025-11-25,2025-11-27,211359.12,SETTLED,8.33
T1002,ACC001,MSFT,US4351017363,BUY,447,1041.19,USD,2025-11-25,2025-11-27,465411.93,SETTLED,6.9
T1003,ACC003,AAPL,US1896451623,SELL,74,1320.5,USD,2025-11-25,2025-11-27,97717.0,SETTLED,8.15
T1004,ACC003,MSFT,US4699765608,SELL,117,2758.21,USD,2025-11-25,2025-11-27,322710.57,SETTLED,8.59
T1005,ACC001,GOOGL,US0254874564,SELL,488,1519.37,USD,2025-11-25,2025-11-27,741452.56,SETTLED,2.44
T1006,ACC002,GOOGL,US4034847455,SELL,526,1576.93,USD,2025-11-25,2025-11-27,829465.18,SETTLED,8.7
T1007,ACC002,GOOGL,US1353286586,BUY,175,2895.37,USD,2025-11-25,2025-11-27,506689.75,SETTLED,7.06
T1008,ACC003,AAPL,US9850254510,BUY,709,2291.74,USD,2025-11-25,2025-11-27,1624843.66,SETTLED,5.72
T1009,ACC002,MSFT,US9435092078,SELL,396,2516.28,USD,2025-11-25,2025-11-27,996446.88,SETTLED,9.46
